Ref,Type,Datetime,Price,Value,Commission,PnL,Net PnL
0,Short,1986-04-11 00:00:00,0.10020816,-0.096354,0.00010020816000000001,-0.0003821600000000064,-0.0004823681600000064
1,Long,1986-04-14 00:00:00,0.099826,0.099826,9.9826e-05,0.007986080000000007,0.007886254000000006
2,Long,1986-04-25 00:00:00,0.111111,0.111111,0.000111111,0.007951440000000004,0.007840329000000004
3,Short,1986-04-28 00:00:00,0.117188,0.117188,0.000117188,-0.004687520000000001,-0.004804708
4,Long,1986-05-01 00:00:00,0.111979,0.111979,0.00011197899999999999,0.008958320000000006,0.008846341000000006
5,Short,1986-06-02 00:00:00,0.121528,0.121528,0.000121528,-0.00486112000000001,-0.0049826480000000105
6,Short,1986-06-04 00:00:00,0.118056,0.118056,0.000118056,-0.0047222400000000025,-0.004840296000000003
7,Short,1986-06-26 00:00:00,0.1046178,-0.10901603999999998,0.00010461779999999999,-0.008784840000000002,-0.008889457800000002
8,Long,1986-10-10 00:00:00,0.1182636,-0.10462167999999998,0.0001182636,0.008299440000000019,0.00818117640000002
